#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,Notional(Base),NettingSet,CounterParty
FS_1.CP_10.CP_1.TL_0.TRADE_5742.COPY_0,Swap,2017-11-09,1.759166,36149.182166,EUR,36149.182166,EUR,17361508.42,17361508.42,FS_1.CP_10.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_10.TL_0.TRADE_6427.COPY_0,Swap,2021-04-26,5.219440,6252555.365551,EUR,6252555.365551,EUR,45208950.58,45208950.58,FS_1.CP_1.CP_10.TL_0,FS_1.CP_10
FS_1.CP_10.CP_1.TL_0.TRADE_6427.COPY_0,Swap,2021-04-26,5.219440,-6252555.365551,EUR,-6252555.365551,EUR,45208950.58,45208950.58,FS_1.CP_10.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_10.TL_0.TRADE_7585.COPY_0,Swap,2018-07-02,2.403002,1229062.481326,EUR,1229062.481326,EUR,43397987.32,43397987.32,FS_1.CP_1.CP_10.TL_0,FS_1.CP_10
FS_1.CP_10.CP_1.TL_0.TRADE_7585.COPY_0,Swap,2018-07-02,2.403002,-1229062.481326,EUR,-1229062.481326,EUR,43397987.32,43397987.32,FS_1.CP_10.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_10.TL_0.TRADE_8685.COPY_0,FxForward,2018-12-24,2.882454,-9525673.800856,EUR,-9525673.800856,EUR,63307676.94,63307676.94,FS_1.CP_1.CP_10.TL_0,FS_1.CP_10
FS_1.CP_10.CP_1.TL_0.TRADE_8685.COPY_0,FxForward,2018-12-24,2.882454,10786272.894640,USD,9525673.800856,EUR,72734034.68,64233558.28,FS_1.CP_10.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_10.TL_0.TRADE_9757.COPY_0,Swap,2017-01-30,0.983824,-483888.030391,EUR,-483888.030391,EUR,98198529.23,98198529.23,FS_1.CP_1.CP_10.TL_0,FS_1.CP_10
FS_1.CP_10.CP_1.TL_0.TRADE_9757.COPY_0,Swap,2017-01-30,0.983824,483888.030391,EUR,483888.030391,EUR,98198529.23,98198529.23,FS_1.CP_10.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_15.TL_0.TRADE_838.COPY_0,FxForward,2017-06-24,1.381084,-11534106.195467,EUR,-11534106.195467,EUR,26951689.75,26951689.75,FS_1.CP_1.CP_15.TL_0,FS_1.CP_15
FS_1.CP_15.CP_1.TL_0.TRADE_838.COPY_0,FxForward,2017-06-24,1.381084,13060495.207056,USD,11534106.195467,EUR,30953297.66,27335764.58,FS_1.CP_15.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_15.TL_0.TRADE_2736.COPY_0,FxForward,2017-01-24,0.967385,-36732448.740294,EUR,-36732448.740294,EUR,68750984.38,68750984.38,FS_1.CP_1.CP_15.TL_0,FS_1.CP_15
FS_1.CP_15.CP_1.TL_0.TRADE_2736.COPY_0,FxForward,2017-01-24,0.967385,41593510.809238,USD,36732448.740294,EUR,79797714.33,70471700.85,FS_1.CP_15.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_15.TL_0.TRADE_2757.COPY_0,FxForward,2016-12-31,0.901639,-10419198.723308,EUR,-10419198.723308,EUR,20255347.47,20255347.47,FS_1.CP_1.CP_15.TL_0,FS_1.CP_15
FS_1.CP_15.CP_1.TL_0.TRADE_2757.COPY_0,FxForward,2016-12-31,0.901639,11798044.224754,USD,10419198.723308,EUR,23476422.65,20732717.07,FS_1.CP_15.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_15.TL_0.TRADE_3133.COPY_0,Swap,2016-07-29,0.478142,-145339.664708,EUR,-145339.664708,EUR,57075887.53,57075887.53,FS_1.CP_1.CP_15.TL_0,FS_1.CP_15
FS_1.CP_15.CP_1.TL_0.TRADE_3133.COPY_0,Swap,2016-07-29,0.478142,145339.664708,EUR,145339.664708,EUR,57075887.53,57075887.53,FS_1.CP_15.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_15.TL_0.TRADE_4468.COPY_0,FxForward,2018-04-16,2.192043,56611.700566,USD,49995.452384,EUR,427638.14,377659.78,FS_1.CP_1.CP_15.TL_0,FS_1.CP_15
FS_1.CP_15.CP_1.TL_0.TRADE_4468.COPY_0,FxForward,2018-04-16,2.192043,-49995.452384,EUR,-49995.452384,EUR,369545.16,369545.16,FS_1.CP_15.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_15.TL_0.TRADE_6137.COPY_0,FxForward,2018-11-10,2.761906,-10041417.770436,EUR,-10041417.770436,EUR,68119996.96,68119996.96,FS_1.CP_1.CP_15.TL_0,FS_1.CP_15
FS_1.CP_15.CP_1.TL_0.TRADE_6137.COPY_0,FxForward,2018-11-10,2.761906,11370268.873922,USD,10041417.770436,EUR,78407206.84,69243702.93,FS_1.CP_15.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_15.TL_0.TRADE_8381.COPY_0,Swap,2024-10-07,8.669399,6927502.832983,EUR,6927502.832983,EUR,57539828.52,57539828.52,FS_1.CP_1.CP_15.TL_0,FS_1.CP_15
FS_1.CP_15.CP_1.TL_0.TRADE_8381.COPY_0,Swap,2024-10-07,8.669399,-6927502.832983,EUR,-6927502.832983,EUR,57539828.52,57539828.52,FS_1.CP_15.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_2.TL_0.TRADE_147.COPY_0,FxForward,2016-07-14,0.437158,-14731717.037754,EUR,-14731717.037754,EUR,47436326.91,47436326.91,FS_1.CP_1.CP_2.TL_0,FS_1.CP_2
